REGION,VE_TOTAL,VE_FORMS,PEDS,PERMVIT,PERNOTMVIT,DEC,NOV,OCT,SEP,AUG,JUL,JUN,MAY,APR,MAR,FEB,JAN,MV_EV,INT_B,WRK_ZONE,INT_HWY,SUNDAY,MON,TUE,WED,THU,FRI,SAT,T_Q1,T_Q2,T_Q3,T_Q4,MANCOL_RR,MANCOL_RS,MANCOL_SOPP,MANCOL_SS,MANCOL_ANG,MANCOL_FF,MANCOL_FR,MANCOL_IM,DAYLGT,BLOWSNOW,CLOUDY,BLOWSSD,SEV_CW,FOGSS,SNOW,SLEET_H,RAIN,CLEAR,WEATHR_IM,MAXSEV_IM,ALC_B,URBANICITY
3,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,10,2,0,0
3,1,1,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,3,0,1
3,1,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,10,2,0,1
3,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,3,0,1
3,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,10,0,0,1
3,2,2,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,9,0,0,1,0,0,0,0,0,0,0,10,3,0,1
3,2,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,7,0,0,1,0,0,0,0,0,0,0,10,0,0,1
3,2,2,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,7,1,0,1,0,0,0,0,0,0,0,10,0,0,0
3,2,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,7,1,0,1,0,0,0,0,0,0,0,10,0,0,1
3,2,2,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,7,1,0,1,0,0,0,0,0,0,0,10,0,0,0
3,2,2,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,7,1,0,1,0,0,0,0,0,0,0,10,0,0,1
3,2,2,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,7,1,0,1,0,0,0,0,0,0,0,10,2,0,1
3,2,2,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,7,1,0,1,0,0,0,0,0,0,0,10,0,0,1
3,2,2,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,7,1,0,1,0,0,0,0,0,0,0,10,1,0,1
3,2,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,7,0,0,1,0,0,0,0,0,0,0,10,1,0,1
3,2,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,7,1,0,1,0,0,0,0,0,0,0,10,0,0,0
3,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,7,0,0,1,0,0,0,0,0,0,0,10,0,0,1
3,2,2,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,7,0,0,1,0,0,0,0,0,0,0,10,0,0,1
3,2,2,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,7,1,0,1,0,0,0,0,0,0,0,10,0,1,0
3,2,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,7,1,0,1,0,0,0,0,0,0,0,10,0,0,1
3,2,2,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,7,1,0,1,0,0,0,0,0,0,0,10,0,0,0
3,2,2,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,7,0,0,1,0,0,0,0,0,0,0,10,1,0,1
3,2,2,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,7,0,0,1,0,0,0,0,0,0,0,10,0,0,1
3,2,2,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,7,0,0,1,0,0,0,0,0,0,0,10,0,0,1
3,2,2,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,7,1,0,1,0,0,0,0,0,0,0,10,0,0,0
3,2,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,7,1,0,1,0,0,0,0,0,0,0,10,0,0,1
3,2,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,7,1,0,1,0,0,0,0,0,0,0,10,0,0,1
3,2,2,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,7,1,0,1,0,0,0,0,0,0,0,10,0,0,1
3,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,7,0,0,1,0,0,0,0,0,0,0,10,0,0,1
3,2,2,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,7,1,0,1,0,0,0,0,0,0,0,10,0,0,1
3,2,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,7,0,0,1,0,0,0,0,0,0,0,10,0,0,1
3,2,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,7,1,0,1,0,0,0,0,0,0,0,10,3,0,1
3,2,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,7,1,0,1,0,0,0,0,0,0,0,10,0,0,1
3,2,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,7,1,0,1,0,0,0,0,0,0,0,10,2,0,1
3,2,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,7,1,0,1,0,0,0,0,0,0,0,10,1,1,1
3,2,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,7,1,0,1,0,0,0,0,0,0,0,10,0,0,1
3,2,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,7,1,0,1,0,0,0,0,0,0,0,10,0,0,1
3,2,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,7,1,0,1,0,0,0,0,0,0,0,10,0,0,0
3,2,2,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,7,1,0,1,0,0,0,0,0,0,0,10,3,0,1
3,2,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,7,1,0,1,0,0,0,0,0,0,0,10,0,0,1
3,2,2,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,7,1,0,1,0,0,0,0,0,0,0,10,2,1,1
3,2,2,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,7,1,0,1,0,0,0,0,0,0,0,10,0,0,1
3,2,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,7,1,0,1,0,0,0,0,0,0,0,10,0,0,0
3,2,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,7,0,0,1,0,0,0,0,0,0,0,10,0,0,0
3,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,7,0,0,1,0,0,0,0,0,0,0,10,2,0,1
3,2,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,7,1,0,1,0,0,0,0,0,0,0,10,0,0,0
3,2,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,7,1,0,1,0,0,0,0,0,0,0,10,1,0,0
3,2,2,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,7,1,0,1,0,0,0,0,0,0,0,10,0,0,1
3,2,2,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,7,1,0,1,0,0,0,0,0,0,0,10,3,0,1
3,2,2,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,7,1,0,1,0,0,0,0,0,0,0,10,0,0,1
3,2,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,7,0,0,1,0,0,0,0,0,0,0,10,2,0,0
3,2,2,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,7,1,0,1,0,0,0,0,0,0,0,10,0,1,1
3,2,2,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,7,0,0,1,0,0,0,0,0,0,0,10,1,0,0
3,2,2,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,7,1,0,1,0,0,0,0,0,0,0,10,0,0,0
3,2,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,7,1,0,1,0,0,0,0,0,0,0,10,3,0,1
3,2,2,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,7,1,0,1,0,0,0,0,0,0,0,10,0,0,1
3,2,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,7,1,0,1,0,0,0,0,0,0,0,10,2,0,1
3,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,7,1,0,1,0,0,0,0,0,0,0,10,0,0,1
3,2,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,7,1,0,1,0,0,0,0,0,0,0,10,3,0,1
3,2,2,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,7,1,0,1,0,0,0,0,0,0,0,10,0,0,1
3,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,7,1,0,1,0,0,0,0,0,0,0,10,0,0,1
3,2,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,7,1,0,1,0,0,0,0,0,0,0,10,0,0,1
3,2,2,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,7,1,0,1,0,0,0,0,0,0,0,10,3,0,0
3,2,2,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,7,1,0,1,0,0,0,0,0,0,0,10,1,0,1
3,2,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,7,1,0,1,0,0,0,0,0,0,0,10,0,0,0
3,2,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,7,1,0,1,0,0,0,0,0,0,0,10,1,0,1
3,2,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,7,1,0,1,0,0,0,0,0,0,0,10,1,0,0
3,2,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,7,1,0,1,0,0,0,0,0,0,0,10,0,0,1
3,2,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,7,1,0,1,0,0,0,0,0,0,0,10,0,0,1
3,2,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,7,0,0,1,0,0,0,0,0,0,0,10,0,0,1
3,2,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,7,0,0,1,0,0,0,0,0,0,0,10,0,1,1
3,2,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,7,0,0,1,0,0,0,0,0,0,0,10,0,0,0
3,2,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,7,1,0,1,0,0,0,0,0,0,0,10,0,0,1
3,2,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,7,1,0,1,0,0,0,0,0,0,0,10,0,0,1
3,2,2,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,7,1,0,1,0,0,0,0,0,0,0,10,0,0,0
3,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,7,1,0,1,0,0,0,0,0,0,0,10,2,0,1
3,2,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,7,1,0,1,0,0,0,0,0,0,0,10,0,0,1
3,2,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,7,1,0,1,0,0,0,0,0,0,0,10,0,0,1
3,2,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,7,1,0,1,0,0,0,0,0,0,0,10,1,0,0
3,2,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,7,1,0,1,0,0,0,0,0,0,0,10,3,0,1
3,2,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,7,0,0,1,0,0,0,0,0,0,0,10,0,0,1
3,2,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,7,0,0,1,0,0,0,0,0,0,0,10,2,0,1
3,2,2,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,7,0,0,1,0,0,0,0,0,0,0,10,1,1,1
3,2,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,7,0,0,1,0,0,0,0,0,0,0,10,0,0,1
3,2,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,7,1,0,1,0,0,0,0,0,0,0,10,1,0,1
3,2,2,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,7,1,0,1,0,0,0,0,0,0,0,10,0,0,1
3,2,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,7,1,0,1,0,0,0,0,0,0,0,10,3,0,1
3,2,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,7,1,0,1,0,0,0,0,0,0,0,10,0,1,1
3,2,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,7,1,0,1,0,0,0,0,0,0,0,10,3,0,1
3,2,2,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,7,1,0,1,0,0,0,0,0,0,0,10,0,0,1
3,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,7,0,0,1,0,0,0,0,0,0,0,10,0,0,1
3,2,2,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,7,1,0,1,0,0,0,0,0,0,0,10,1,0,1
3,2,2,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,7,0,0,1,0,0,0,0,0,0,0,10,0,0,1
3,2,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,6,0,0,1,0,0,0,0,0,0,0,10,0,0,1
3,2,2,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,6,1,0,1,0,0,0,0,0,0,0,10,0,0,1
3,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,6,0,0,1,0,0,0,0,0,0,0,10,2,0,1
3,2,2,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,6,0,0,1,0,0,0,0,0,0,0,10,2,0,1
3,2,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,6,1,0,1,0,0,0,0,0,0,0,10,0,0,1
3,2,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,6,1,0,1,0,0,0,0,0,0,0,10,1,0,1
3,2,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,6,1,0,1,0,0,0,0,0,0,0,10,2,0,0
3,2,2,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,6,1,0,1,0,0,0,0,0,0,0,10,3,0,1
3,2,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,6,0,0,1,0,0,0,0,0,0,0,10,1,0,1
3,2,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,6,1,0,1,0,0,0,0,0,0,0,10,0,1,1
3,2,2,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,6,0,0,1,0,0,0,0,0,0,0,10,4,0,1
3,2,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,6,0,0,1,0,0,0,0,0,0,0,10,0,0,1
3,2,2,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,6,0,0,1,0,0,0,0,0,0,0,10,0,0,1
3,2,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,6,1,0,1,0,0,0,0,0,0,0,10,1,0,1
3,2,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,6,0,0,1,0,0,0,0,0,0,0,10,2,0,1
3,2,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,10,3,0,1
3,2,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,2,1,0,1,0,0,0,0,0,0,0,10,3,0,1
3,2,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,10,3,0,1
3,2,2,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,10,2,0,1
3,2,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,10,2,0,0
3,2,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,10,1,0,1
3,2,2,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,10,1,0,0
3,2,2,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,10,2,0,1
3,2,2,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,10,2,0,1
3,2,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,10,0,0,1
3,2,2,0,10,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,10,0,0,1
3,2,2,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,10,0,0,1
3,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,10,0,0,1
3,2,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,10,0,0,1
3,2,2,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,10,0,0,1
3,2,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,10,0,0,1
